AccessionNumber,GeneName,Function
Rv3407,vapB47,Unknown
Rv2199c,Rv2199c,Unknown
Rv3279c,birA,BIRA acts both as a biotin-operon repressor and as the enzyme that synthesizes the corepressor  acetyl-CoA:carbon-dioxide ligase. This protein also activates biotin to form biotinyl-5'-adenylate and transfers the biotin moiety to biotin-accepting proteins [catalytic activity: ATP + biotin + APO-[acetyl-CoA:carbon-dioxide ligase (ADP forming)] = AMP + pyrophosphate + [acetyl-CoA:carbon-dioxide ligase (ADP forming)]].
Rv3386,Rv3386,Involved in the transposition of the insertion sequence IS1560.
Rv2587c,secD,Involved in protein export. Part of the prokaryotic protein translocation apparatus which comprise SECA  SECB  SECD  SECE  SECF  SECG and SECY.
Rv2008c,Rv2008c,Unknown
Rv3410c,guaB3,Catalyses the first reaction unique to GMP biosynthesis [catalytic activity: inosine 5'-phosphate + NAD(+) + H(2)O = xanthosine 5'-phosphate + NADH].
Rv0822c,Rv0822c,Function unknown
Rv3877,eccD1,Unknown
Rv2726c,dapF,Involved in biosynthesis of lysine from aspartate semialdehyde (at the sixth step) [catalytic activity: ll-2 6-diaminoheptanedioate = MESO-diaminoheptanedioate].
Rv1657,argR,Regulates arginine biosynthesis genes
MTB000140,ncRv11793,Unknown
Rv3832c,Rv3832c,Function unknown
Rv3283,sseA,Possibly a sulfotransferase involved in the formation of thiosulfate [catalytic activity: thiosulfate + cyanide = sulfite + thiocyanate].
Rv2890c,rpsB,Involved in translation mechanism.
Rv1640c,lysX,Charging LYS tRNA [catalytic activity: ATP + L-lysine + tRNA(LYS) = AMP + diphosphate + L-lysyl-tRNA (LYS)]
Rv2033c,Rv2033c,Unknown
Rv2182c,Rv2182c,Transfer of fatty acyl groups
Rv0629c,recD,Involved in homologous recombination.
Rv1972,Rv1972,Unknown
MTB000075,ncrMT1234,Unknown
Rv3039c,echA17,Could possibly oxidize fatty acids using specific components [catalytic activity: (3S)-3-hydroxyacyl-CoA = trans-2(or 3)-enoyl-CoA + H(2)O].
Rv2803,Rv2803,Function unknown
Rv3349c,Rv3349c,Possibly involved in the transposition of the insertion sequence IS1561'.
Rv0948c,Rv0948c,Involved in the shikimate pathway. Converts chorismate to prephenate in the biosynthesis of tyrosine and phenylalanine.
Rv2805,Rv2805,Function unknown
Rv2316,uspA,Thought to be involved in active transport of sugar across the membrane (import). Responsible for the translocation of the substrate across the membrane.
Rv0451c,mmpS4,Unknown
Rv1625c,cya,Involved in cAMP synthesis [catalytic activity: ATP = 3' 5'-cyclic AMP + diphosphate]. Inhibited by polyphosphates.
Rv2307B,Rv2307B,Unknown
Rv0277A,vapB25,Unknown
Rv1239c,corA,Thought to be involved in transport of magnesium and cobalt ions across the membrane. Responsible for the translocation of the substrate across the membrane.
Rv0129c,fbpC,Proteins of the antigen 85 complex are responsible for the high affinity of mycobacteria to fibronectin. Possesses a mycolyltransferase activity required for the biogenesis of trehalose dimycolate (cord factor)  a dominant structure necessary for maintaining cell wall integrity.
Rv1285,cysD,Involved in sulfate activation pathway. First step in the sulfate activation pathway. This reaction occurs early in the reductive branch of the cysteine biosynthetic pathway [catalytic activity:ATP + sulfate = diphosphate + adenylylsulfate]
Rv3848,Rv3848,Unknown
Rv3566A,Rv3566A,Unknown
Rv3587c,Rv3587c,Function unknown
Rv3876,espI,Function unknown
Rv3452,cut4,Hydrolysis of cutin (a polyester that forms the structure of plant cuticle). Shown to have esterase and phospholipase activity. Shown to have TDM-specific hydrolase activity (see Yang et al. 2014).
Rv2748c,ftsK,Possibly involved in cell division processes
Rv2658c,Rv2658c,Unknown
Rv1517,Rv1517,Unknown
Rv3885c,eccE2,Unknown
Rv0099,fadD10,Function unknown  but involvement in lipid degradation.
Rv2836c,dinF,Function unknown; induction by DNA damage.
Rv1786,Rv1786,Ferredoxins are iron-sulfur proteins that transfer electrons in a wide variety of metabolic reactions.
Rv2469c,Rv2469c,Function unknown
Rv1500,Rv1500,Function unknown
Rv0294,tam,Possibly catalyzes the S-adenosylmethionine monomethyl esterification of trans-aconitate at high affinity and of cis-aconitate  isocitrate  and citrate at lower velocities and affinities.
Rv0255c,cobQ1,Involved in cobalamin biosynthesis
Rv2061c,Rv2061c,Unknown
Rv2206,Rv2206,Unknown
Rv2737c,recA,Involved in regulation of nucleotide excision repair  in genetic recombination  and in induction of the sos response. Endonuclease which can catalyze the hydrolysis of ATP in the presence of single-stranded DNA  the ATP-dependent uptake of single-stranded DNA by duplex DNA  and the ATP-dependent hybridization of homologous single-stranded DNAS. It interacts with LEXA|Rv2720 causing its activation and leading to its autocatalytic cleavage.
Rv0644c,mmaA2,Involved in mycolic acids modification. Catalyzes unusual S-adenosyl-methionine-dependent transformation of a cis-olefin mycolic acid into a secondary alcohol. Catalyzes introduction of a hydroxyl group at the distal position on mycolic acid chains to produce the hydroxyl mycolate. Mycolic acids represent a major constituent of the mycobacterial cell wall complex. Methyl transfer results in formation of a secondary hydroxy group with an adjacent methyl branch; olefinic mycolic acid methyl transferase. Has also cyclopropane function.
Rv0714,rplN,This protein binds directly to 23S ribosomal RNA.
Rv0271c,fadE6,Function unknown  but involved in lipid degradation.
Rv0665,vapC8,Unknown
Rv2077c,Rv2077c,Unknown
Rv3180c,Rv3180c,Unknown
Rv2203,Rv2203,Unknown
Rv2701c,suhB,Involved in inositol phosphate metabolism. It is responsible for the provision of inositol required for synthesis of phosphatidylinositol and polyphosphoinositides. Key enzyme of the phosphatidyl inositol signaling pathway. [catalytic activity: myo-inositol 1-phosphate + H(2)O = myo-inositol + phosphate]
Rv0564c,gpdA1,Involved in de novo phospholipid biosynthesis; glycerol-3 phosphate formation [catalytic activity: SN-glycerol 3-phosphate + NAD(P)+ = glycerone phosphate + NAD(P)H].
Rv1463,Rv1463,Thought to be involved in active transport across the membrane. Responsible for energy coupling to the transport system.
Rv3106,fprA,Generates oxidized ferredoxin from ferredoxin [catalytic activity: reduced ferredoxin + NADP(+) = oxidized ferredoxin + NADPH].
Rv3264c,manB,Involved in GDP-mannose biosynthesis and biosynthesis of nucleotide-activated glycero-manno-heptose (D-alpha-D pathway): generates GDP-mannose and phosphate from GTP and alpha-D-mannose 1-phosphate. MANB product is needed for all mannosyl glycolipids and polysaccharides which  like rhamnosyl residues  are an important part of the mycobacterium envelope [catalytic activity: alpha-D-mannose 1-phosphate + GTP = GDP-mannose + phosphate].
Rv1949c,Rv1949c,Function unknown
Rv1175c,fadH,Catalyzes the NADP-dependent reduction of 2 4-dienoyl-CoA to yield trans-2- enoyl-CoA [catalytic activity: trans-2 3-didehydroacyl-CoA + NADP(+) = trans trans-2 3 4 5-tetradehydroacyl-CoA + NADPH].
Rv0691c,Rv0691c,Involved in transcriptional mechanism
Rv2477c,Rv2477c,Thought to be involved in active transport of macrolide across the membrane (export): macrolide antibiotics resistance by an export mechanism. Responsible for energy coupling to the transport system.
Rv3426,PPE58,Function unknown
Rv2207,cobT,Involved in cobalamin biosynthesis
Rv1668c,Rv1668c,Thought to be involved in active transport of macrolide across the membrane (export). Macrolide antibiotics resistance by an export mechanism. Responsible for energy coupling to the transport system.
Rv0542c,menE,Involved in menaquinone biosynthesis. O-succinylbenzoic acid (OSB) to O-succinylbenzoyl-CoA (OSB-CoA) [catalytic activity: ATP + O-succinylbenzoate + CoA = AMP + diphosphate + O-succinylbenzoyl-CoA].
Rv3170,aofH,Possibly catalyzes the oxidative deamination: oxidize on primary amines  and perhaps on secondary and tertiary amines [catalytic activity: RCH(2)NH(2) + H(2)O + O(2) = RCHO + NH(3) + H(2)O(2)]. Must have important function in metabolism. Supposedly involved in stationary-phase survival.
Rv1216c,Rv1216c,Function unknown
Rv3229c,desA3,Thought to be involved in lipid metabolism [catalytic activity: linoleoyl-CoA + ah(2) + O(2) = gamma-linolenoyl-CoA + a + 2 H(2)O]
Rv1881c,lppE,Unknown
MTB000021,rrf,-
Rv2887,Rv2887,Involved in transcriptional mechanism.
Rv0034,Rv0034,Function unknown
Rv1543,Rv1543,Thought to reduce acyl-CoA esters of fatty acids to fatty aldehydes.
Rv3414c,sigD,The sigma factor is an initiation factor that promotes attachment of the RNA polymerase to specific initiation sites and then is released.
Rv1981c,nrdF1,Involved in the DNA replication pathway. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides  precursors that are necessary for DNA synthesis [catalytic activity: 2'-deoxyribonucleoside diphosphate + oxidized thioredoxin + H(2)O = ribonucleoside diphosphate + reduced thioredoxin].
Rv3379c,dxs2,Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP). Possibly involved in deoxyxylulose-5-phosphate pathway (DXP) of isoprenoid biosynthesis (at the first step)  and biosynthetic pathway to thiamine andpyridoxol (at the first step).
Rv0696,Rv0696,Function unknown; probably involved in cellular metabolism.
Rv0866,moaE2,Possibly a molybdenum biosynthesis cofactor. Conversion of molybdopterin precursor Z into molybdopterin requires transfer of two sulfur atoms to precursor Z (to generate the dithiolene group). This is catalyzed by the converting factor composed of a small and large subunit.
Rv2330c,lppP,Unknown
MTB000071,mpr18,Unknown
Rv1240,mdh,Involved in the conversion of malate to oxaloacetate [catalytic activity: (S)-malate + NAD+ = oxaloacetate + NADH].
Rv3520c,Rv3520c,Function unknown; probably involved in cellular metabolism.
Rv1294,thrA,Involved in the conversion of L-aspartate to homoserine (third step). Homoserine participates in the biosynthesis of threonine and then isoleucine and in the biosynthesis of methionine [catalytic activity: L-homoserine + NAD(P)(+) = L-aspartate 4-semialdehyde + NAD(P)H.]
Rv2169c,Rv2169c,Unknown
Rv2617c,Rv2617c,Unknown
Rv3707c,Rv3707c,Function unknown
Rv3540c,ltp2,Function unknown  supposed involvement in lipid metabolism.
Rv0832,PE_PGRS12,Function unknown
Rv1885c,Rv1885c,Involved in the shikimate pathway. Converts chorismate to prephenate in the biosynthesis of tyrosine and phenylalanine.
Rv0627,vapC5,Unknown
Rv2993c,Rv2993c,Isomerizes HHDD (2-hydroxy-hept-2 4-diene-1 7-dioate) to OHED (2-oxo-hept-3-ene-1 7-dioate).
Rv3776,Rv3776,Function unknown
Rv1140,Rv1140,Function unknown
Rv3375,amiD,Involved in cellular metabolism [catalytic activity: a monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3)].
Rv1771,Rv1771,Possibly involved in biosynthesis of L-ascorbic acid (vitamin C). Oxidizes L-gulono-1 4-lactone.
MTB000002,alaT,-
Rv2766c,Rv2766c,Function unknown  possibly involved in cellular metabolism.
Rv1179c,Rv1179c,Unknown
Rv1590,Rv1590,Function unknown
Rv2734,Rv2734,Function unknown
Rv1924c,Rv1924c,Unknown
Rv2089c,pepE,Hydrolysis of peptide bonds
Rv3224,Rv3224,Function unknown; probably involved in cellular metabolism.
Rv1325c,PE_PGRS24,Function unknown
Rv2556c,Rv2556c,Function unknown
Rv1747,Rv1747,Thought to be involved in active transport of undetermined substrate (possibly lipooligosaccharide) across the membrane. Responsible for energy coupling to the transport system and for the translocation of the substrate across the membrane.
Rv1828,Rv1828,Function unknown
Rv0395,Rv0395,Unknown
Rv0994,moeA1,Involved in molybdenum cofactor biosynthesis: involved in the biosynthesis of a demolybdo-cofactor (molybdopterin)  necessary for molybdo-enzymes.
Rv2504c,scoA,Involved in fatty acid degradation/synthesis [catalytic activity: succinyl-CoA + a 3-oxo acid = succinate + a 3-oxo-acyl-CoA].
Rv0218,Rv0218,Unknown
MTB000101,ncRv10071c,Unknown
Rv3671c,Rv3671c,Function unknown; hydrolyses of peptides and/or proteins (possibly cleaved preferentially after serine residue).
Rv0632c,echA3,Could possibly oxidize fatty acids using specific components [catalytic activity: (3S)-3-hydroxyacyl-CoA = trans-2(or 3)-enoyl-CoA + H(2)O].
MTB000034,lysU,-
Rv3751,Rv3751,Sequence integration.
Rv1592c,Rv1592c,Function unknown
Rv2410c,Rv2410c,Function unknown
Rv1386,PE15,Function unknown
Rv3260c,whiB2,Involved in transcriptional mechanism.
Rv3629c,Rv3629c,Unknown
Rv1301,Rv1301,Function unknown
MTB000056,AS1890,Unknown
Rv0835,lpqQ,Unknown
Rv3188,Rv3188,Function unknown
Rv0847,lpqS,Unknown
Rv3784,Rv3784,Possibly involved in dTDP-L-rhamnose biosynthesis within the O antigen biosynthesis pathway of lipopolysaccharide biosynthesis [catalytic activity: dTDP-glucose = dTDP-4-dehydro-6-deoxy-D-glucose + H(2)O].
Rv1526c,Rv1526c,Unknown; thought to be involved in cellular metabolism.
Rv1990c,Rv1990c,Involved in transcriptional mechanism.
Rv2992c,gltS,Involved in translation mechanisms [catalytic activity: ATP + L-glutamate + tRNA(GLU) = AMP + diphosphate + L-glutamyl-tRNA(GLU)].
Rv3331,sugI,Thought to be involved in transport of sugar across the membrane. Responsible for the translocation of the substrate across the membrane.
Rv0446c,Rv0446c,Unknown
Rv1614,lgt,Prolipoprotein modification
Rv0396,Rv0396,Unknown
Rv2249c,glpD1,Involved in aerobic respiration and oxidation of glycerol. Reduces an acceptor and generates glycerone phosphate from Sn-glycerol 3-phosphate. Possibly play a role in metabolism of riboflavin  FAD FMN [catalytic activity: SN-glycerol 3-phosphate + acceptor = glycerone phosphate + reduced acceptor].
Rv3119,moaE1,Possibly a molybdenum biosynthesis cofactor. Conversion of molybdopterin precursor Z into molybdopterin requires transfer of two sulfur atoms to precursor Z (to generate the dithiolene group). This is catalyzed by the converting factor composed of a small and large subunit.
Rv3813c,Rv3813c,Function unknown
Rv3645,Rv3645,Unknown. Inhibited by polyphosphates.
MTB000156,ncRv3461c,Unknown
Rv0630c,recB,Involved in homologous recombination.
Rv1859,modC,Part of the binding-protein-dependent transport system modabc for molybdenum; responsible for energy coupling to the transport system.
Rv3195,Rv3195,Function unknown
Rv3849,espR,Involved in transcriptional mechanism. Regulates transcription of genes required for ESX-1 system.
Rv0881,Rv0881,Causes methylation
Rv0183,Rv0183,Function unknown; probably involved in cellular metabolism.
Rv3351c,Rv3351c,Function unknown
Rv2047c,Rv2047c,Unknown
Rv3897c,Rv3897c,Function unknown
Rv0527,ccdA,Possibly involved in cytochrome C synthesis. Might transfer reducing equivalents across the cytoplasmic membrane  promoting efficient disulfide bond isomerization of proteins localized on the outer surface of the membrane.
Rv3328c,sigJ,The sigma factor is an initiation factor that promotes attachment of the RNA polymerase to specific initiation sites and then is released.
Rv0675,echA5,Could possibly oxidize fatty acids using specific components [catalytic activity: (3S)-3-hydroxyacyl-CoA = trans-2(or 3)-enoyl-CoA + H(2)O].
Rv2066,cobI,Involved in cobalamin biosynthesis.
Rv1817,Rv1817,Function unknown; probably involved in cellular metabolism
Rv3388,PE_PGRS52,Function unknown
Rv0777,purB,Involved in de novo purine biosynthesis (at the eight step) [catalytic activity: 1-(5-phosphoribosyl)-4-(N-succino-carboxamide) -5-aminoimidazole = fumarate + 5'-phosphoribosyl-5-amino-4-imidazolecarboxamide (also catalyzes: N6-(1 2-dicarboxyethyl)AMP = fumarate + AMP)].
